"","position","coding","noncoding","cod","noncod","weighted_cod","weighted_noncod"
"1",10000,1829,104,118310,13210,0.0154593863578734,0.00787282361847086
"2",100000,867,75,141968,15370,0.00610701003042939,0.00487963565387118
"3",1000000,497,50,90182,10235,0.00551107759863387,0.00488519785051295
"4",1010000,236,125,59597,13118,0.00395993086900347,0.00952889159932917
"5",1020000,635,104,85552,11516,0.00742238638488872,0.00903091351163599
"6",1030000,450,69,81377,14072,0.00552981800754513,0.00490335417851052
"7",1040000,869,42,79061,7814,0.0109915128824578,0.00537496800614282
"8",1050000,883,236,75628,11702,0.011675569894748,0.0201674927362844
"9",1060000,522,91,85673,13253,0.00609293476357779,0.00686636987851807
"10",1070000,492,49,83257,6649,0.00590941302232845,0.00736952925251918
"11",1080000,741,51,93248,5089,0.00794655113246397,0.0100216152485754
"12",1090000,683,45,94607,7417,0.00721933894954919,0.00606714304975057
"13",110000,1091,162,133542,14119,0.00816971439696874,0.0114739004178766
"14",1100000,614,91,76753,12360,0.0079996873086394,0.00736245954692557
"15",1110000,468,32,94583,8482,0.00494803505915439,0.00377269511907569
"16",1120000,414,28,86708,10567,0.00477464593809106,0.0026497586826914
"17",1130000,482,81,77603,9713,0.00621110008633687,0.00833933903016576
"18",1140000,564,57,57859,5959,0.00974783525467084,0.00956536331599262
"19",1150000,254,37,32837,2872,0.00773517678228827,0.012883008356546
"20",1160000,240,19,25365,2739,0.00946185688941455,0.00693683826213947
"21",1170000,332,26,57729,6376,0.00575100902492681,0.00407779171894605
"22",1180000,1334,330,75660,11543,0.0176315093840867,0.0285887550896647
"23",1190000,619,180,84788,13799,0.00730056140019814,0.0130444235089499
"24",120000,1533,174,131371,20188,0.0116692420701677,0.00861898157321181
"25",1200000,636,131,86093,19201,0.00738736018027017,0.00682256132493099
"26",1210000,1846,82,86841,11965,0.0212572402436637,0.00685332218972002
"27",1220000,305,91,68773,8926,0.00443487996742908,0.0101949361416088
"28",1230000,735,102,90910,8046,0.00808491915080849,0.0126771066368382
"29",1240000,594,75,86831,9519,0.00684087480277781,0.00787897888433659
"30",1250000,887,54,92090,7446,0.00963188185470735,0.0072522159548751
"31",1260000,651,95,88687,7013,0.00734042193331604,0.0135462712106089
"32",1270000,620,79,94454,8390,0.0065640417557753,0.00941597139451728
"33",1280000,455,70,82066,9312,0.00554431798796091,0.00751718213058419
"34",1290000,977,77,75699,12877,0.012906379212407,0.00597965364603557
"35",130000,1559,94,109543,10216,0.014231854157728,0.00920125293657009
"36",1300000,394,33,65594,6666,0.0060066469494161,0.00495049504950495
"37",1310000,259,57,70853,8377,0.00365545566172216,0.00680434523098961
"38",1320000,456,44,60524,6826,0.00753420130857181,0.00644594198652212
"39",1330000,284,26,64921,5526,0.00437454752699435,0.00470503076366269
"40",1340000,403,36,70768,7572,0.00569466425503052,0.00475435816164818
"41",1350000,526,39,80232,9979,0.00655598763585602,0.00390820723519391
"42",1360000,559,12,68979,5157,0.00810391568448368,0.00232693426410704
"43",1370000,416,43,62829,4667,0.00662114628595075,0.00921362759802871
"44",1380000,460,46,71515,6912,0.00643221701740894,0.00665509259259259
"45",1390000,509,33,69161,5799,0.00735963910296265,0.00569063631660631
"46",140000,710,81,118036,11663,0.00601511403300688,0.00694503986967333
"47",1400000,277,26,68697,7604,0.00403219936824024,0.00341925302472383
"48",1410000,426,77,72946,11495,0.00583993639130316,0.00669856459330144
"49",1420000,476,43,76342,7294,0.00623509994498441,0.00589525637510282
"50",1430000,434,76,57363,6286,0.00756585255303942,0.0120903595291123
"51",1440000,535,66,74871,6417,0.00714562380628013,0.0102851799906498
"52",1450000,760,42,58256,6949,0.0130458665201868,0.00604403511296589
"53",1460000,477,42,49086,5995,0.00971763843050972,0.00700583819849875
"54",1470000,690,110,72119,6286,0.0095675203483132,0.0174992045816099
"55",1480000,1053,61,59673,5462,0.017646171635413,0.011168070303918
"56",1490000,511,24,70143,5991,0.00728511754558545,0.00400600901352028
"57",150000,670,59,114574,11497,0.00584774905301377,0.00513177350613203
"58",1500000,431,20,76314,6155,0.00564771863616112,0.00324939073923639
"59",1510000,587,71,80521,9771,0.00729002372052011,0.00726640057312455
"60",1520000,457,19,71511,5461,0.00639062521849785,0.0034792162607581
"61",1530000,659,59,74735,6934,0.00881782297450994,0.00850879723103548
"62",1540000,472,49,75891,6550,0.00621944631115679,0.00748091603053435
"63",1550000,519,34,53608,6362,0.00968139083718848,0.00534423137378183
"64",1560000,352,112,60213,4860,0.00584591367312707,0.0230452674897119
"65",1570000,565,80,71374,8881,0.00791604786056547,0.00900799459520324
"66",1580000,709,110,127184,16522,0.00557460057868914,0.0066577896138482
"67",1590000,653,149,95586,11891,0.00683154436842215,0.0125304852409385
"68",160000,685,134,117021,18973,0.00585365019953684,0.00706266800189743
"69",1600000,848,61,108746,9455,0.00779798797197138,0.00645161290322581
"70",1610000,831,64,130179,8672,0.00638351807895283,0.00738007380073801
"71",1620000,795,64,130230,10700,0.00610458419718959,0.00598130841121495
"72",1630000,603,50,129914,8408,0.00464153209045984,0.00594671741198858
"73",1640000,827,46,120162,9251,0.00688237545979594,0.00497243541238785
"74",1650000,1577,266,128143,10265,0.0123065637607985,0.0259132976132489
"75",1660000,1050,173,133851,18908,0.00784454355962974,0.00914956632113391
"76",1670000,968,80,153577,12971,0.00630302714599191,0.00616760465654152
"77",1680000,688,111,136942,8697,0.00502402476961049,0.0127630217316316
"78",1690000,818,95,141303,12659,0.00578897829486989,0.0075045422229244
"79",170000,777,161,123556,12173,0.00628864644371783,0.0132259919493962
"80",1700000,1016,149,138894,12929,0.00731493081054617,0.0115244798514966
"81",1710000,1083,167,142364,15926,0.00760726026242589,0.0104859977395454
"82",1720000,1206,128,139734,11577,0.00863068401391215,0.011056404940831
"83",1730000,3046,310,118369,9322,0.0257330888999654,0.033254666380605
"84",1740000,1391,95,128541,8540,0.0108214499653807,0.0111241217798595
"85",1750000,1208,77,135882,8538,0.0088900663811248,0.00901850550480206
"86",1760000,762,88,114778,11793,0.00663890292564777,0.0074620537607055
"87",1770000,598,37,136709,12279,0.00437425480399974,0.00301327469663653
"88",1780000,915,27,151798,11018,0.00602774740115153,0.00245053548738428
"89",1790000,985,68,152275,13077,0.00646856017074372,0.00519996941194464
"90",180000,836,117,112468,12485,0.00743322545079489,0.00937124549459351
"91",1800000,867,246,110765,42684,0.00782738229585158,0.00576328366601068
"92",1810000,768,65,122805,9960,0.00625381702699401,0.00652610441767068
"93",1820000,424,72,70944,12025,0.0059765448804691,0.00598752598752599
"94",1830000,1174,140,96033,11472,0.0122249643351765,0.0122036262203626
"95",1840000,681,87,93891,10374,0.00725309135060868,0.00838635049161365
"96",1850000,626,72,92375,10068,0.00677672530446549,0.00715137067938021
"97",1860000,521,112,62285,7135,0.00836477482539937,0.0156972669936931
"98",1870000,572,116,85918,11736,0.00665751064968924,0.00988411724608044
"99",1880000,405,90,70930,9064,0.00570985478640914,0.00992939099735216
"100",1890000,233,143,53961,12584,0.00431793332221419,0.0113636363636364
"101",190000,564,91,98239,14148,0.00574110078482069,0.00643200452360758
"102",1900000,466,51,77896,9559,0.00598233542158776,0.00533528611779475
"103",1910000,495,112,79524,8466,0.00622453598913536,0.0132293881407985
"104",1920000,698,135,91638,12300,0.00761692747550143,0.0109756097560976
"105",1930000,626,123,82509,11571,0.00758705110957592,0.0106300233341976
"106",1940000,655,82,86272,14642,0.00759226632047478,0.00560032782406775
"107",1950000,744,153,105830,12785,0.00703014268165927,0.0119671490027376
"108",1960000,774,209,106638,14716,0.00725820064142238,0.0142022288665398
"109",1970000,705,81,98068,11538,0.00718888934208916,0.00702028081123245
"110",1980000,698,64,114529,12516,0.00609452627718744,0.00511345477788431
"111",1990000,564,58,115600,10142,0.00487889273356401,0.00571879313744823
"112",20000,575,117,113516,29064,0.00506536523485676,0.00402559867877787
"113",200000,794,164,123098,16261,0.00645014541259809,0.0100854805977492
"114",2000000,680,74,98836,9900,0.00688008417985349,0.00747474747474748
"115",2010000,935,91,132712,13364,0.00704533124359515,0.00680933852140078
"116",2020000,644,172,120288,15970,0.00535381750465549,0.0107701941139637
"117",2030000,633,70,114295,13933,0.00553830001312393,0.00502404363740759
"118",2040000,808,53,120311,11150,0.00671592788689314,0.00475336322869955
"119",2050000,522,128,90100,25016,0.00579356270810211,0.00511672529581068
"120",2060000,730,38,108401,9411,0.00673425521904779,0.00403782807353097
"121",2070000,670,110,111563,11227,0.0060055753251526,0.00979780885365636
"122",2080000,789,58,99854,7998,0.00790153624291466,0.00725181295323831
"123",2090000,603,48,107186,11650,0.00562573470415913,0.00412017167381974
"124",210000,830,126,110610,14943,0.00750384232890335,0.008432041758683
"125",2100000,590,68,101310,15788,0.0058237094067713,0.00430706865974158
"126",2110000,700,110,104335,12686,0.00670915800067092,0.00867097587892165
"127",2120000,727,75,103105,10249,0.00705106444886281,0.0073177871011806
"128",2130000,767,83,88090,8780,0.00870700420024974,0.00945330296127563
"129",2140000,406,49,70092,7460,0.00579238714831935,0.00656836461126005
"130",2150000,629,98,89976,8079,0.00699075308971281,0.0121302141354128
"131",2160000,875,96,98651,10522,0.00886965160008515,0.00912374073370082
"132",2170000,802,49,105565,7483,0.00759721498602757,0.00654817586529467
"133",2180000,708,122,122825,14440,0.00576429879910442,0.00844875346260388
"134",2190000,628,91,111572,12416,0.00562865235005198,0.00732925257731959
"135",220000,758,84,120587,14112,0.00628591805086784,0.00595238095238095
"136",2200000,970,139,119659,11409,0.00810636893171429,0.0121833640108686
"137",2210000,637,107,113154,14139,0.00562949608498153,0.00756772048942641
"138",2220000,582,56,105043,7568,0.00554058814009501,0.00739957716701903
"139",2230000,498,89,97513,13313,0.0051070113728426,0.00668519492225644
"140",2240000,506,87,95060,10162,0.00532295392383758,0.0085613068293643
"141",2250000,501,97,86655,9326,0.00578154751601177,0.0104010293802273
"142",2260000,357,74,48765,2975,0.00732082436173485,0.0248739495798319
"143",2270000,515,65,66088,6156,0.00779264011620869,0.0105588044184535
"144",2280000,391,71,52747,5030,0.00741274385273096,0.0141153081510934
"145",2290000,706,156,64777,4774,0.010898930175834,0.0326770004189359
"146",230000,925,115,117456,12704,0.00787528947009944,0.00905226700251889
"147",2300000,456,72,59563,4925,0.00765575944797945,0.0146192893401015
"148",2310000,440,67,50497,5569,0.00871338891419292,0.0120308852576764
"149",2320000,415,80,56563,4948,0.00733695171755388,0.0161681487469685
"150",2330000,487,58,69326,7508,0.00702478146727058,0.00772509323388386
"151",2340000,420,218,59772,7833,0.00702670146556916,0.0278309715307034
"152",2350000,502,74,74667,7984,0.00672318427149879,0.0092685370741483
"153",2360000,400,30,60331,6042,0.00663009066648986,0.00496524329692155
"154",2370000,432,28,64343,6585,0.00671401706479337,0.00425208807896735
"155",2380000,553,73,71037,5012,0.00778467559159311,0.0145650438946528
"156",2390000,457,59,64152,7203,0.00712370619778027,0.00819103151464668
"157",240000,670,151,94291,17388,0.00710566225832794,0.00868414998849782
"158",2400000,462,60,64839,4769,0.00712534122981539,0.0125812539316419
"159",2410000,482,67,64454,7526,0.00747820150805225,0.00890247143236779
"160",2420000,382,37,50254,4630,0.00760138496438094,0.00799136069114471
"161",2430000,324,18,60550,3802,0.00535094962840628,0.0047343503419253
"162",2440000,286,29,55482,6070,0.00515482498828449,0.00477759472817133
"163",2450000,183,58,48598,6004,0.00376558706119593,0.00966022651565623
"164",2460000,284,27,57430,8606,0.00494515061814383,0.00313734603764815
"165",2470000,518,38,63361,4761,0.00817537601994918,0.00798151648813275
"166",2480000,529,86,51925,4615,0.0101877708233028,0.01863488624052
"167",2490000,339,26,39320,3300,0.00862156663275687,0.00787878787878788
"168",250000,882,146,127209,21300,0.00693347168832394,0.00685446009389671
"169",2500000,164,5,29064,3695,0.00564271951555189,0.0013531799729364
"170",2510000,182,29,44510,4072,0.00408896877106268,0.00712180746561886
"171",2520000,397,19,51992,3796,0.00763579012155716,0.00500526870389884
"172",2530000,499,48,64806,7034,0.007699904329846,0.00682399772533409
"173",2540000,499,44,78138,6301,0.0063861373467455,0.00698301856848119
"174",2550000,513,60,72003,5826,0.00712470313736928,0.0102986611740474
"175",2560000,450,44,71311,7619,0.00631038689683219,0.00577503609397559
"176",2570000,287,27,46445,5246,0.00617935192162773,0.00514677849790316
"177",2580000,307,15,51412,3966,0.00597136855208901,0.0037821482602118
"178",2590000,195,13,51089,5053,0.00381686860185167,0.00257272907183851
"179",260000,625,158,131846,19583,0.0047403789269299,0.00806822243782873
"180",2600000,289,11,56117,3962,0.00514995455922448,0.002776375567895
"181",2610000,431,38,62609,2209,0.00688399431391653,0.0172023540063377
"182",2620000,336,54,45710,3927,0.00735068912710567,0.0137509549274255
"183",2630000,458,29,66467,4932,0.00689063745919028,0.00587996755879968
"184",2640000,302,20,55365,6828,0.00545470965411361,0.00292911540714704
"185",2650000,412,49,60795,6509,0.00677687309811662,0.0075280381010908
"186",2660000,230,27,37428,4350,0.00614513198674789,0.00620689655172414
"187",2670000,295,33,55337,4933,0.00533097204402118,0.00668964119197243
"188",2680000,308,64,61131,4544,0.00503836024275736,0.0140845070422535
"189",2690000,303,41,69931,10967,0.00433284237319644,0.00373848819184827
"190",270000,887,144,136410,15760,0.00650245583168389,0.00913705583756345
"191",2700000,314,16,66618,6583,0.00471344081179261,0.00243050281026887
"192",2710000,288,70,53337,6211,0.00539962877552168,0.0112703268394783
"193",2720000,448,44,57845,6361,0.00774483533581122,0.00691715139129068
"194",2730000,251,11,53814,3984,0.00466421377336752,0.00276104417670683
"195",2740000,311,40,64108,6923,0.00485118861920509,0.00577784197602196
"196",2750000,292,13,51607,6221,0.00565814715058035,0.0020896961903231
"197",2760000,369,12,55537,2078,0.00664421916920251,0.00577478344562079
"198",2770000,219,23,44741,4603,0.00489483918553452,0.0049967412557028
"199",2780000,219,20,38930,3106,0.00562548163370152,0.00643915003219575
"200",2790000,286,8,48527,6797,0.00589362622869743,0.00117698984846256
"201",280000,1203,181,115735,12671,0.010394435564004,0.0142845868518665
"202",2800000,290,24,56417,7518,0.00514029459205559,0.00319233838786911
"203",2810000,314,38,67584,5274,0.00464607007575758,0.00720515737580584
"204",2820000,543,73,64632,7021,0.00840141106572596,0.0103973792906993
"205",2830000,417,55,52899,5831,0.00788294674757557,0.00943234436631796
"206",2840000,260,41,61678,7857,0.00421544148642952,0.00521827669593993
"207",2850000,370,116,67170,6952,0.00550841149322614,0.0166858457997698
"208",2860000,339,20,59075,6824,0.00573846804909014,0.00293083235638921
"209",2870000,287,35,51243,7470,0.0056007649825342,0.00468540829986613
"210",2880000,320,29,65037,6316,0.00492027615049895,0.00459151361621279
"211",2890000,314,41,64722,7004,0.00485151880349804,0.00585379782981154
"212",290000,584,121,82129,21573,0.00711076477249206,0.005608862930515
"213",2900000,277,58,59721,11259,0.00463823445689121,0.00515143440802913
"214",2910000,386,70,67177,10045,0.00574601426083332,0.00696864111498258
"215",2920000,391,38,57746,3665,0.00677103175977557,0.0103683492496589
"216",2930000,227,14,42627,3617,0.00532526333075281,0.00387061100359414
"217",2940000,282,34,40859,4208,0.00690178418463496,0.00807984790874525
"218",2950000,183,14,28487,2835,0.00642398286937901,0.00493827160493827
"219",2960000,270,17,40654,2957,0.00664141289909972,0.00574907000338181
"220",2970000,150,20,39622,5287,0.00378577557922366,0.00378286362776622
"221",2980000,322,27,58785,5127,0.00547758782002211,0.00526623756582797
"222",2990000,205,14,24776,2548,0.00827413626089764,0.00549450549450549
"223",30000,1895,93,132776,12942,0.0142721576188468,0.007185906351414
"224",300000,743,118,106945,15678,0.0069474963766422,0.00752647021303738
"225",3000000,244,72,28350,2649,0.00860670194003527,0.0271800679501699
"226",3010000,262,32,47098,6554,0.00556286891163107,0.00488251449496491
"227",3020000,142,57,24984,3513,0.00568363752801793,0.0162254483347566
"228",3030000,269,42,35070,3570,0.00767037353863701,0.0117647058823529
"229",3040000,166,35,38206,6469,0.00434486729833011,0.00541041892100788
"230",3050000,282,29,53741,6502,0.00524739026069481,0.00446016610273762
"231",3060000,285,15,58009,5259,0.00491303073660984,0.00285225328009127
"232",3070000,203,23,39058,3315,0.00519739874033489,0.00693815987933635
"233",3080000,265,54,40930,5344,0.00647446860493526,0.0101047904191617
"234",3090000,443,11,60874,4263,0.00727732693760883,0.00258034248182031
"235",310000,555,70,101347,13303,0.00547623511302752,0.00526197098398857
"236",3100000,219,51,50083,7332,0.00437274124952579,0.00695581014729951
"237",3110000,424,74,74683,7662,0.00567732951274052,0.00965805272774732
"238",3120000,277,80,50405,8297,0.00549548655887313,0.00964203929131011
"239",3130000,168,33,31610,4342,0.00531477380575767,0.00760018424689083
"240",3140000,363,55,42630,5273,0.00851513019000704,0.0104304949743979
"241",3150000,171,15,23587,2564,0.00724975622164752,0.00585023400936037
"242",3160000,276,19,42158,4783,0.00654680013283363,0.00397240225799707
"243",3170000,117,23,22834,3501,0.00512393798721205,0.00656955155669809
"244",3180000,244,38,44609,4099,0.00546974825707817,0.0092705537936082
"245",3190000,468,55,46365,6372,0.0100938207699774,0.008631512868801
"246",320000,761,44,115891,8560,0.00656651508745287,0.00514018691588785
"247",3200000,305,25,50964,4587,0.00598461659210423,0.00545018530630041
"248",3210000,271,22,37314,4523,0.00726268960711797,0.00486402829980102
"249",3220000,288,29,47730,7210,0.00603394091766185,0.00402219140083218
"250",3230000,329,45,60393,6242,0.00544765121785637,0.00720922781159885
"251",3240000,431,59,63785,9194,0.00675707454730736,0.00641722862736567
"252",330000,841,78,113445,11531,0.00741328397020583,0.00676437429537768
"253",340000,1495,98,95122,11947,0.0157166586068417,0.0082028961245501
"254",350000,671,65,84935,8827,0.00790015894507565,0.00736377025036819
"255",360000,823,63,111190,8712,0.00740174476121953,0.00723140495867769
"256",370000,845,192,101183,8315,0.00835120524198729,0.0230907997594708
"257",380000,845,77,106252,10316,0.00795279147686632,0.00746413338503296
"258",390000,633,98,104241,10967,0.00607246668777161,0.00893589860490563
"259",40000,789,89,139977,15541,0.005636640305193,0.00572678720803037
"260",400000,806,27,110373,8209,0.00730251057776811,0.0032890729686929
"261",410000,619,90,108497,11051,0.00570522687263242,0.00814405936114379
"262",420000,644,79,103620,8753,0.00621501640609921,0.00902547697932138
"263",430000,516,58,91440,9265,0.00564304461942257,0.00626011872638964
"264",440000,454,73,91302,9995,0.00497250881689339,0.00730365182591296
"265",450000,661,99,93127,13112,0.00709783414047484,0.0075503355704698
"266",460000,754,119,98678,9498,0.00764101420782748,0.0125289534638871
"267",470000,780,47,89938,7052,0.00867264115279415,0.00666477595008508
"268",480000,680,39,111016,13845,0.00612524320818621,0.0028169014084507
"269",490000,627,93,133653,19181,0.00469125272159996,0.00484854804233356
"270",50000,719,124,135549,13657,0.00530435488273613,0.00907959288277074
"271",500000,626,153,124025,18559,0.00504736948195928,0.00824397866264346
"272",510000,308,90,76391,22809,0.00403188857326125,0.00394581086413258
"273",520000,771,61,129760,12934,0.00594173859432799,0.00471625173960105
"274",530000,786,69,123627,12208,0.00635783445363877,0.00565203145478375
"275",540000,819,102,128159,9832,0.00639049930164873,0.0103742880390561
"276",550000,670,151,113694,16789,0.00589301106478794,0.00899398415629281
"277",560000,988,129,140990,13159,0.00700758919072275,0.00980317653317121
"278",570000,750,74,126075,12693,0.00594883997620464,0.00582998503111951
"279",580000,1114,157,121646,12619,0.00915771994146951,0.0124415563832316
"280",590000,726,64,109339,8766,0.00663989976129286,0.00730093543235227
"281",60000,1098,144,127194,20938,0.00863248266427662,0.00687744770274143
"282",600000,635,112,111725,18317,0.00568359812038487,0.00611453840694437
"283",610000,868,108,111606,15276,0.00777735964016272,0.00706991358994501
"284",620000,663,50,82728,8294,0.00801421525964607,0.00602845430431637
"285",630000,364,47,75095,12992,0.00484719355483055,0.00361761083743842
"286",640000,613,80,104081,10332,0.00588964364293195,0.00774293457220286
"287",650000,773,116,94656,20551,0.00816641311697093,0.0056444941851978
"288",660000,2215,111,108038,12499,0.0205020455765564,0.00888071045683655
"289",670000,1081,104,115784,14700,0.00933635044565743,0.00707482993197279
"290",680000,646,102,99468,17881,0.00649455101138054,0.00570437894972317
"291",690000,894,147,129198,14581,0.00691961175869596,0.0100816130580893
"292",70000,540,66,113381,13560,0.00476270274560993,0.00486725663716814
"293",700000,609,128,90487,9449,0.00673024854398974,0.0135464070271986
"294",710000,854,82,106444,9637,0.00802299800834242,0.00850887205561897
"295",720000,642,148,99380,11305,0.00646005232441135,0.0130915524104379
"296",730000,842,95,107259,10659,0.0078501570963742,0.0089126559714795
"297",740000,641,103,73899,15559,0.00867400100136673,0.00661996272254001
"298",750000,669,88,93155,9337,0.00718157908861575,0.00942486880154225
"299",760000,779,60,101382,9341,0.00768380974926516,0.00642329515041216
"300",770000,790,79,124965,8352,0.00632177009562678,0.0094588122605364
"301",780000,680,51,109308,19907,0.00622095363559849,0.00256191289496157
"302",790000,823,94,118781,16994,0.00692871755583806,0.00553136401082735
"303",80000,699,76,125682,9466,0.00556165560700816,0.00802873441791675
"304",800000,479,83,82008,13168,0.00584089357135889,0.00630315917375456
"305",810000,815,145,106890,11865,0.00762466086631116,0.012220817530552
"306",820000,596,98,102838,12874,0.00579552305567981,0.00761224172751282
"307",830000,594,147,103947,10579,0.00571445063349592,0.0138954532564515
"308",840000,511,46,90547,10854,0.00564347797276553,0.00423806891468583
"309",850000,450,55,78982,8675,0.0056975006963612,0.00634005763688761
"310",860000,723,132,68574,7778,0.0105433546242016,0.0169709436873232
"311",870000,477,55,71027,7844,0.00671575598012024,0.00701172870984192
"312",880000,949,169,99019,10482,0.00958401922863289,0.0161228773134898
"313",890000,637,64,122459,11716,0.00520174099086225,0.00546261522703995
"314",90000,916,74,139851,14093,0.00654982803126184,0.00525083374725041
"315",900000,680,44,118835,10345,0.0057222198847141,0.00425326244562591
"316",910000,882,169,114645,24149,0.00769331414366087,0.00699821938796638
"317",920000,735,51,124200,12054,0.00591787439613527,0.00423096067695371
"318",930000,615,78,115804,11168,0.00531069738523712,0.00698424068767908
"319",940000,576,135,101529,13519,0.00567325591702863,0.00998594570604335
"320",950000,667,56,101341,11275,0.00658173888159777,0.00496674057649667
"321",960000,673,97,117561,12473,0.00572468760898597,0.0077767978834282
"322",970000,613,53,105742,10349,0.00579712886081217,0.00512126775533868
"323",980000,650,78,107400,9482,0.00605214152700186,0.0082261126344653
"324",990000,583,81,89777,9699,0.00649386813994676,0.00835137643055985
